title,genres,original_language,release_date,popularity,budget,revenue,runtime,vote_average,vote_count,status,release_year
"The Goods: Live Hard, Sell Hard",Comedy,en,2009-08-14,3.352702,10000000,0,90.0,5.4,58,Released,2009.0
The Informant!,Drama|Comedy|Crime,en,2009-09-18,17.772518,22000000,35424826,108.0,6.0,301,Released,2009.0
The Open Road,Comedy|Drama|Romance,en,2009-02-07,1.388136,0,0,90.0,4.8,19,Released,2009.0
The Soloist,Drama,en,2009-04-24,17.299333,60000000,31720158,109.0,6.6,234,Released,2009.0
Tidal Wave,Action|Adventure|Drama|Thriller,ko,2009-06-06,4.628525,16000000,11301649,120.0,6.5,48,Released,2009.0
Veronika Decides to Die,Drama|Romance,en,2009-05-16,4.799022,9000000,0,103.0,5.8,75,Released,2009.0
Whatever Works,Comedy|Romance,en,2009-06-19,21.857387,15000000,35097815,92.0,6.8,350,Released,2009.0
Whiteout,Action|Crime|Mystery|Thriller,en,2009-09-09,14.818718,40000000,12206028,101.0,5.3,220,Released,2009.0
Wild Grass,Drama|Romance,fr,2009-05-20,1.866443,0,0,104.0,5.8,22,Released,2009.0
X-Men Origins: Wolverine,Adventure|Action|Thriller|Science Fiction,en,2009-04-28,5.954334,150000000,373062864,107.0,6.2,4021,Released,2009.0
8: The Mormon Proposition,Documentary,en,2010-01-01,0.424957,0,0,80.0,5.5,6,Released,2010.0
A Turtle's Tale: Sammy's Adventures,Animation|Family,en,2010-08-03,15.805449,0,0,88.0,5.6,151,Released,2010.0
After.Life,Drama|Horror|Mystery|Thriller,en,2010-04-09,14.570359,4500000,3606395,104.0,5.4,251,Released,2010.0
Beneath Hill 60,Drama|History|War,en,2010-04-15,3.949796,7347125,0,122.0,7.3,40,Released,2010.0
Blue Valentine,Drama|Romance,en,2010-12-27,26.881611,3500000,16566240,112.0,6.9,890,Released,2010.0
Charlie St. Cloud,Drama,en,2010-05-01,21.75433,44000000,48190704,99.0,6.8,566,Released,2010.0
Country Strong,Drama|Romance,en,2010-12-22,7.809701,15000000,20529194,117.0,5.9,80,Released,2010.0
Don't Be Afraid of the Dark,Fantasy|Horror|Thriller,en,2010-11-06,14.562197,25000000,36993168,99.0,5.4,341,Released,2010.0
Everything Must Go,Comedy|Drama|Romance,en,2010-10-15,9.169411,5000000,2614773,97.0,6.0,208,Released,2010.0
Four Lions,Comedy|Crime|Drama,en,2010-05-07,20.544999,967686,4270000,101.0,7.0,423,Released,2010.0
From Paris with Love,Action|Crime|Thriller,en,2010-02-05,27.916284,52000000,52826594,92.0,6.1,675,Released,2010.0
Get Low,Comedy|Drama|Mystery,en,2010-01-22,6.557643,7500000,0,103.0,6.5,100,Released,2010.0
Gulliver's Travels,Comedy,en,2010-12-25,22.845143,112000000,237382724,85.0,4.9,621,Released,2010.0
I Spit on Your Grave,Thriller|Crime|Horror,en,2010-06-17,26.281839,2000000,572809,108.0,6.3,519,Released,2010.0
Inception,Action|Thriller|Science Fiction|Mystery|Adventure,en,2010-07-14,167.58371,160000000,825532764,148.0,8.1,13752,Released,2010.0
Iron Man 2,Adventure|Action|Science Fiction,en,2010-04-28,77.300194,200000000,623933331,124.0,6.6,6849,Released,2010.0
Jackass 3D,Comedy|Documentary|Action,en,2010-10-15,20.99174,20000000,117224271,94.0,6.4,428,Released,2010.0
Jonah Hex,Action|Western|Drama|Fantasy|Thriller,en,2010-06-18,22.581313,47000000,10539000,80.0,4.4,420,Released,2010.0
Killers,Action|Comedy|Thriller|Romance,en,2010-06-04,23.004607,75000000,98159963,100.0,5.7,772,Released,2010.0
Knight and Day,Action|Comedy,en,2010-06-15,44.906918,117000000,261930431,109.0,5.9,1547,Released,2010.0
Legion,Horror,en,2010-01-21,30.981604,26000000,67918658,100.0,5.2,629,Released,2010.0
Letters to God,Action|Drama|Family|Thriller,en,2010-04-09,3.644872,0,0,110.0,6.5,37,Released,2010.0
Letters to Juliet,Comedy|Drama|Romance,en,2010-05-14,16.52083,30000000,0,105.0,6.6,796,Released,2010.0
Megamind,Animation|Action|Comedy|Family|Science Fiction,en,2010-10-28,68.757242,130000000,321887208,95.0,6.7,1918,Released,2010.0
Morning Glory,Comedy|Drama|Romance,en,2010-01-12,22.491388,40000000,58785180,102.0,6.1,412,Released,2010.0
Nanny McPhee and the Big Bang,Comedy|Fantasy,en,2010-03-26,23.835055,35000000,93246388,109.0,6.0,436,Released,2010.0
Of Gods and Men,Drama|History,fr,2010-05-18,4.992475,4000000,41424067,120.0,6.5,91,Released,2010.0
Paranormal Activity 2,Horror|Thriller,en,2010-10-20,22.789649,3000000,177512032,91.0,5.7,722,Released,2010.0
Predators,Action|Science Fiction|Adventure|Thriller,en,2010-07-03,47.649554,40000000,126248813,107.0,6.0,1206,Released,2010.0
Rabbit Hole,Drama,en,2010-12-16,10.095184,5000000,5129058,91.0,6.9,165,Released,2010.0
Rubber,Comedy|Drama|Fantasy|Horror|Mystery,en,2010-07-09,9.108949,500000,98017,85.0,5.7,251,Released,2010.0
Salt,Action|Mystery|Thriller,en,2010-07-21,48.829437,110000000,293329073,100.0,6.2,2093,Released,2010.0
Sarah's Key,Drama|War,fr,2010-09-16,10.072199,10000000,17511906,111.0,7.2,196,Released,2010.0
Super,Comedy|Action|Drama,en,2010-09-09,12.204569,2500000,324138,96.0,6.6,441,Released,2010.0
Super Hybrid,Horror,en,2010-01-01,4.009379,13000000,0,95.0,4.6,24,Released,2010.0
Takers,Action|Crime|Drama|Thriller,en,2010-08-26,18.47242,32000000,69055695,107.0,6.0,394,Released,2010.0
The Bounty Hunter,Action,en,2010-03-16,33.747825,40000000,136000000,110.0,5.5,858,Released,2010.0
The Chronicles of Narnia: The Voyage of the Dawn Treader,Adventure|Family|Fantasy,en,2010-08-13,49.661984,155000000,415686217,113.0,6.2,1514,Released,2010.0
The Debt,Drama|Thriller,en,2010-04-11,14.857884,20000000,45636368,113.0,6.3,257,Released,2010.0
The Kids Are All Right,Comedy|Drama,en,2010-07-09,15.338211,3500000,34705850,106.0,6.5,506,Released,2010.0
The Switch,Comedy|Romance|Drama,en,2010-05-11,27.494037,19000000,49830607,101.0,5.9,583,Released,2010.0
The Wolfman,Drama|Horror|Thriller,en,2010-02-11,21.214571,150000000,0,102.0,5.5,549,Released,2010.0
Welcome to the Rileys,Drama,en,2010-10-29,6.085879,0,42145,110.0,6.4,139,Released,2010.0
Wild Target,Action|Comedy,en,2010-06-17,10.791954,8000000,3453043,98.0,6.4,215,Released,2010.0
Winter's Bone,Drama,en,2010-06-11,20.834883,2000000,13831503,100.0,6.8,565,Released,2010.0
1911,Adventure|Drama|Action|History|War,zh,2011-07-03,4.065212,30000000,108348,125.0,5.0,41,Released,2011.0
A Better Life,Drama,en,2011-06-24,4.123533,10000000,1759252,98.0,7.0,54,Released,2011.0
A Dangerous Method,Drama|Thriller,en,2011-09-30,27.133277,15000000,27462041,99.0,6.2,571,Released,2011.0
Battle: Los Angeles,Action|Science Fiction,en,2011-03-08,49.199234,70000000,202466756,116.0,5.5,1448,Released,2011.0
"Big Mommas: Like Father, Like Son",Crime|Comedy|Action,en,2011-02-16,15.901137,32000000,83615414,107.0,5.3,313,Released,2011.0
Bridesmaids,Comedy|Romance,en,2011-04-28,17.107065,32500000,288383523,125.0,6.5,1661,Released,2011.0
Bucky Larson: Born to Be a Star,Comedy,en,2011-09-09,3.919057,10000000,0,97.0,4.4,51,Released,2011.0
Cedar Rapids,Comedy,en,2011-02-11,10.254807,0,6861102,87.0,5.9,135,Released,2011.0
Circumstance,Drama,fa,2011-08-26,2.34239,0,0,107.0,7.4,23,Released,2011.0
Coriolanus,Drama|Thriller,en,2011-02-14,7.554799,7700000,1072602,123.0,5.9,131,Released,2011.0
Dum Maaro Dum,Drama|Action|Crime|Foreign,hi,2011-04-22,0.075817,0,0,130.0,5.4,7,Released,2011.0
Ghost Rider: Spirit of Vengeance,Action|Fantasy|Thriller,en,2011-12-10,48.622278,57000000,149217355,95.0,4.7,1135,Released,2011.0
Go for It!,Drama|Family,en,2011-05-13,0.500753,2450000,0,105.0,4.6,5,Released,2011.0
Grave Encounters,Thriller|Horror,en,2011-09-09,13.222268,1000000,0,92.0,6.1,381,Released,2011.0
Hobo with a Shotgun,Action|Comedy|Thriller,en,2011-05-06,16.900433,3000000,748453,86.0,5.7,211,Released,2011.0
Hugo,Adventure|Drama|Family,en,2011-11-22,32.319043,170000000,185770160,126.0,7.0,2141,Released,2011.0
Justin Bieber: Never Say Never,Documentary|Music|Family,en,2011-02-11,6.735922,13000000,98441954,105.0,4.8,154,Released,2011.0
Larry Crowne,Comedy|Romance|Drama,en,2011-06-30,20.355458,30000000,36160375,98.0,5.7,359,Released,2011.0
Like Crazy,Drama|Romance,en,2011-10-28,21.825564,250000,3542353,90.0,6.4,381,Released,2011.0
Martha Marcy May Marlene,Drama|Thriller,en,2011-10-21,17.806082,0,3538446,101.0,6.7,277,Released,2011.0
Melancholia,Drama|Science Fiction,da,2011-05-26,36.173598,7400000,21817298,136.0,7.0,885,Released,2011.0
Mooz-lum,Drama,en,2011-02-11,0.414754,0,330048,95.0,4.5,3,Released,2011.0
Newlyweds,Comedy|Romance,en,2011-12-26,0.642552,9000,0,85.0,5.9,5,Released,2011.0
Paranormal Activity 3,Horror,en,2011-10-19,29.15813,5000000,205703818,83.0,5.9,669,Released,2011.0
Pirates of the Caribbean: On Stranger Tides,Adventure|Action|Fantasy,en,2011-05-14,135.413856,380000000,1045713802,136.0,6.4,4948,Released,2011.0
Samsara,Drama|Documentary,en,2011-09-16,12.781973,4000000,0,102.0,8.0,167,Released,2011.0
Sherlock Holmes: A Game of Shadows,Adventure|Action|Crime|Mystery,en,2011-11-22,81.499621,125000000,334615000,129.0,7.0,3886,Released,2011.0
Source Code,Thriller|Science Fiction|Mystery,en,2011-03-30,59.19888,32000000,147332697,93.0,7.1,2699,Released,2011.0
The Artist,Drama|Comedy|Romance,en,2011-05-15,29.943316,15000000,133432856,100.0,7.3,1049,Released,2011.0
The Awakening,Horror|Thriller,en,2011-08-17,25.30216,4798235,209696,107.0,6.3,458,Released,2011.0
The Beaver,Drama,en,2011-02-11,13.847872,21000000,970816,91.0,6.3,276,Released,2011.0
The FP,Comedy,en,2011-03-13,0.838957,0,0,82.0,4.5,11,Released,2011.0
The Girl with the Dragon Tattoo,Thriller|Crime|Mystery|Drama,en,2011-12-14,47.651083,90000000,232617430,158.0,7.2,2434,Released,2011.0
The Green Hornet,Action|Crime|Comedy,en,2011-01-12,31.703608,120000000,227817248,119.0,5.5,1251,Released,2011.0
The Hit List,Action|Thriller,en,2011-04-02,4.957014,6000000,0,90.0,5.2,73,Released,2011.0
The Ides of March,Drama,en,2011-09-24,20.317469,12500000,75993061,101.0,6.5,910,Released,2011.0
The Innkeepers,Horror|Thriller,en,2011-12-01,14.386807,750000,78396,102.0,5.4,219,Released,2011.0
The Legend of Hell's Gate: An American Conspiracy,Action|Adventure|History|Western,en,2011-03-03,1.002585,0,0,108.0,3.9,8,Released,2011.0
The Mechanic,Action|Thriller|Crime,en,2011-01-13,44.094856,40000000,51070807,93.0,6.3,1045,Released,2011.0
The Smurfs,Animation|Family|Adventure|Comedy|Fantasy,en,2011-07-29,36.65422,110000000,563749323,103.0,5.5,1179,Released,2011.0
Warrior,Action|Drama,en,2011-09-09,51.915025,25000000,23057115,140.0,7.7,1272,Released,2011.0
What's Your Number?,Comedy|Romance,en,2011-09-30,19.220789,20000000,30426096,106.0,6.2,671,Released,2011.0
Winnie the Pooh,Animation|Family,en,2011-04-13,19.143721,30000000,14460000,63.0,6.8,258,Released,2011.0
Your Sister's Sister,Drama|Comedy,en,2011-09-11,12.833247,125000,3200000,90.0,6.5,137,Released,2011.0
American Reunion,Comedy,en,2012-04-04,39.920035,50000000,234989584,113.0,6.1,1611,Released,2012.0
Bachelorette,Comedy|Romance,en,2012-08-06,20.95282,3000000,11947954,87.0,5.3,444,Released,2012.0
Beasts of the Southern Wild,Drama|Fantasy,en,2012-06-29,12.471239,1800000,21107746,93.0,6.8,403,Released,2012.0
Chernobyl Diaries,Horror|Thriller,en,2012-05-24,20.649145,0,18112929,88.0,4.9,483,Released,2012.0
Damsels in Distress,Comedy|Romance,en,2012-04-06,3.750338,0,0,99.0,5.6,67,Released,2012.0
Darling Companion,Drama|Romance,en,2012-04-20,2.303865,0,0,103.0,5.3,22,Released,2012.0
Detention of the Dead,Comedy|Horror,en,2012-04-27,2.391847,500000,0,87.0,4.5,34,Released,2012.0
Django Unchained,Drama|Western,en,2012-12-25,82.121691,100000000,425368238,165.0,7.8,10099,Released,2012.0
Dredd,Action|Science Fiction,en,2012-09-07,57.673932,50000000,41037742,95.0,6.6,1940,Released,2012.0
Dysfunctional Friends,Comedy|Romance,en,2012-02-03,0.21544,1800000,0,101.0,5.0,4,Released,2012.0
For Greater Glory - The True Story of Cristiada,History|Drama,en,2012-06-01,5.759545,12000000,9622846,145.0,6.4,35,Released,2012.0
Freaky Deaky,Comedy,en,2012-04-22,4.448353,0,0,90.0,4.9,18,Released,2012.0
House at the End of the Street,Horror|Thriller,en,2012-09-21,25.613197,6900000,44287131,101.0,5.6,555,Released,2012.0
Jab Tak Hai Jaan,Drama|Romance,hi,2012-11-13,5.900535,0,0,176.0,7.3,66,Released,2012.0
Journey 2: The Mysterious Island,Adventure|Action|Science Fiction,en,2012-01-19,40.723459,79000000,355692760,94.0,5.8,1030,Released,2012.0
Khiladi 786,Action|Comedy,en,2012-12-07,0.114342,0,126,139.0,4.7,11,Released,2012.0
Lincoln,History|Drama,en,2012-11-09,36.307296,65000000,275293450,149.0,6.7,1429,Released,2012.0
Looper,Action|Thriller|Science Fiction,en,2012-09-26,46.377628,30000000,47042000,118.0,6.6,4697,Released,2012.0
Mirror Mirror,Adventure|Fantasy|Drama|Comedy|Science Fiction|Family,en,2012-03-15,48.126297,85000000,183018522,106.0,5.5,1114,Released,2012.0
Outside Bet,Comedy,en,2012-04-27,0.086731,7500000,0,101.0,5.8,2,Released,2012.0
Pitch Perfect,Comedy|Music|Romance,en,2012-09-28,32.746486,17000000,115350426,112.0,7.3,2247,Released,2012.0
Project X,Comedy|Crime,en,2012-03-01,49.070321,12000000,100000000,88.0,6.5,1564,Released,2012.0
Prometheus,Science Fiction|Adventure|Mystery,en,2012-05-30,68.889395,130000000,403170142,124.0,6.3,5080,Released,2012.0
Red Tails,Drama|Action|Adventure|History|War,en,2012-01-19,12.29603,58000000,50365377,125.0,5.9,178,Released,2012.0
Resident Evil: Retribution,Action|Horror|Science Fiction,en,2012-09-12,6.227675,65000000,240159255,95.0,5.6,1600,Released,2012.0
Rock of Ages,Comedy|Drama|Music|Romance,en,2012-06-13,23.515938,75000000,59418613,123.0,6.0,385,Released,2012.0
Savages,Crime|Drama|Thriller,en,2012-07-06,31.856589,45000000,82966152,131.0,6.2,766,Released,2012.0
Sinister,Horror|Thriller|Mystery,en,2012-03-29,41.045084,3000000,77712439,110.0,6.7,1573,Released,2012.0
Skyfall,Action|Adventure|Thriller,en,2012-10-25,93.004993,200000000,1108561013,143.0,6.9,7604,Released,2012.0
Snow White and the Huntsman,Adventure|Fantasy|Drama,en,2012-05-30,77.178973,170000000,396600000,127.0,5.8,3118,Released,2012.0
Sparkle,Drama|Music,en,2012-08-17,2.698185,14000000,24637469,116.0,5.8,36,Released,2012.0
Supercapitalist,Thriller,en,2012-08-10,0.174311,0,0,103.0,3.5,2,Released,2012.0
That's My Boy,Comedy,en,2012-06-14,21.723897,70000000,58058367,116.0,5.5,453,Released,2012.0
The Cold Light of Day,Action|Thriller,en,2012-04-04,15.131867,20000000,16863583,93.0,4.8,271,Released,2012.0
The Expendables 2,Action|Adventure|Thriller,en,2012-08-08,53.732892,100000000,312573423,103.0,6.1,2896,Released,2012.0
The Helpers,Horror,en,2012-10-27,1.390659,4000000,0,78.0,4.1,8,Released,2012.0
The Hunger Games,Science Fiction|Adventure|Fantasy,en,2012-03-12,68.550698,75000000,691210692,142.0,6.9,9455,Released,2012.0
The Lords of Salem,Horror|Thriller,en,2012-09-10,14.504326,1500000,1165882,101.0,5.1,242,Released,2012.0
The Man with the Iron Fists,Action,en,2012-11-02,17.672021,15000000,15608545,96.0,5.2,358,Released,2012.0
The Master,Drama,en,2012-09-07,25.682509,32000000,28258060,137.0,7.0,701,Released,2012.0
The Possession,Horror|Thriller,en,2012-08-30,21.680424,14000000,85446075,92.0,5.8,498,Released,2012.0
The Watch,Comedy,en,2012-07-26,39.395881,68000000,68267862,98.0,5.3,881,Released,2012.0
The Woman in Black,Drama|Horror|Thriller,en,2012-02-01,43.675191,17000000,127730736,95.0,6.1,1206,Released,2012.0
Tim and Eric's Billion Dollar Movie,Comedy,en,2012-03-02,1.75311,0,0,94.0,5.2,34,Released,2012.0
Vessel,Horror|Science Fiction,en,2012-10-28,0.322553,0,0,14.0,5.9,8,Released,2012.0
Wanderlust,Comedy,en,2012-02-23,20.908494,35000000,24159934,98.0,5.3,394,Released,2012.0
When the Lights Went Out,Thriller|Drama|Horror,en,2012-01-31,2.805351,0,0,86.0,5.8,49,Released,2012.0
Wrath of the Titans,Adventure,en,2012-03-27,44.927635,150000000,301000000,99.0,5.5,1431,Released,2012.0
Zambezia,Comedy|Animation|Adventure|Family,en,2012-06-05,14.182301,20000000,0,83.0,5.3,68,Released,2012.0
12 Years a Slave,Drama|History,en,2013-10-18,95.9229,20000000,187000000,134.0,7.9,3674,Released,2013.0
42,Drama,en,2013-04-12,31.884559,40000000,95020213,128.0,6.8,787,Released,2013.0
47 Ronin,Drama|Action|Adventure|Fantasy,en,2013-12-06,41.796339,175000000,150962475,119.0,5.9,1326,Released,2013.0
Bending Steel,Documentary,en,2013-04-20,0.048726,0,0,93.0,5.0,1,Released,2013.0
Cinco de Mayo: La Batalla,War|History|Drama,es,2013-05-03,0.072085,10000000,0,125.0,5.8,14,Released,2013.0
Closer to the Moon,Comedy|Drama,en,2013-11-29,9.159265,9000000,0,112.0,6.4,13,Released,2013.0
Dead Man Down,Thriller|Action|Crime|Drama,en,2013-03-08,29.647844,0,18074539,118.0,5.9,638,Released,2013.0
Escape from Planet Earth,Animation|Comedy|Adventure|Family|Science Fiction,en,2013-02-14,18.14218,40000000,74597643,89.0,5.7,332,Released,2013.0
Faith Connections,Documentary|Drama,hi,2013-11-21,0.48088,550000,0,115.0,4.2,3,Released,2013.0
Frances Ha,Comedy|Drama,en,2013-05-17,15.492257,0,4069826,86.0,7.2,345,Released,2013.0
G.I. Joe: Retaliation,Adventure|Action|Science Fiction|Thriller,en,2013-03-26,59.325589,130000000,371876278,110.0,5.4,3025,Released,2013.0
Gravity,Science Fiction|Thriller|Drama,en,2013-09-27,110.153618,105000000,716392705,91.0,7.3,5751,Released,2013.0
Hansel & Gretel: Witch Hunters,Fantasy|Horror|Action,en,2013-01-17,53.02787,50000000,224803475,88.0,5.7,3239,Released,2013.0
Hansel and Gretel Get Baked,Horror|Comedy,en,2013-02-19,2.503612,4500000,0,86.0,4.8,67,Released,2013.0
Home Run,Drama,en,2013-04-19,3.085411,1200000,2861020,114.0,6.3,24,Released,2013.0
Independence Daysaster,Action|Science Fiction,en,2013-06-27,1.959405,1800000,0,86.0,4.2,22,Released,2013.0
Khumba,Animation|Adventure|Family,en,2013-07-18,6.459787,20000000,27187375,85.0,5.8,72,Released,2013.0
Kick-Ass 2,Action|Adventure|Crime,en,2013-07-17,40.28635,28000000,60700000,103.0,6.3,2224,Released,2013.0
Labor Day,Drama,en,2013-12-27,17.683563,18000000,20275812,111.0,6.7,299,Released,2013.0
Legends of Oz: Dorothy's Return,Animation|Music|Family,en,2013-06-13,6.682006,70000000,18662027,88.0,5.9,43,Released,2013.0
Lone Survivor,Action|Drama|Thriller|War,en,2013-12-24,37.084384,40000000,149295601,121.0,7.4,1526,Released,2013.0
Machete Kills,Action|Crime|Thriller,en,2013-09-12,29.072964,12000000,15008161,107.0,5.3,631,Released,2013.0
Movie 43,Comedy,en,2013-01-01,35.350303,6000000,32438988,90.0,4.4,797,Released,2013.0
Only God Forgives,Drama|Thriller|Crime,en,2013-05-30,35.754865,4800000,10337387,90.0,5.6,862,Released,2013.0
Open Road,Action|Drama|Thriller,en,2013-04-12,2.680629,3000000,0,85.0,5.2,18,Released,2013.0
Out of Inferno,Action,cn,2013-03-10,1.583918,0,0,107.0,5.8,11,Released,2013.0
Pacific Rim,Action|Science Fiction|Adventure,en,2013-07-11,56.523205,180000000,407602906,131.0,6.7,4794,Released,2013.0
Philomena,Drama,en,2013-11-01,29.019504,12000000,100129872,98.0,7.4,579,Released,2013.0
R.I.P.D.,Fantasy|Action|Comedy|Crime,en,2013-07-18,39.448066,130000000,61648500,96.0,5.4,1260,Released,2013.0
R100,Comedy|Drama,ja,2013-10-05,3.21392,5500000,0,100.0,5.4,31,Released,2013.0
Roadside,Horror|Drama,en,2013-03-01,0.160234,0,0,90.0,4.2,5,Released,2013.0
Side Effects,Thriller|Crime|Drama,en,2013-02-07,48.237797,30000000,63372757,106.0,6.4,1323,Released,2013.0
"Signed, Sealed, Delivered",Comedy|Drama|Romance|TV Movie,en,2013-10-13,1.444476,0,0,120.0,7.0,6,Released,2013.0
The Big Wedding,Comedy,en,2013-04-25,18.84332,35000000,21819348,90.0,5.7,414,Released,2013.0
The Butler,Drama,en,2013-08-16,32.105328,25000000,115922175,132.0,7.2,1101,Released,2013.0
The Internship,Comedy,en,2013-06-07,1.551497,58000000,44000000,119.0,6.1,1658,Released,2013.0
The Way Way Back,Comedy|Drama,en,2013-06-06,32.14444,4600000,23198652,103.0,7.1,688,Released,2013.0
The Wolf of Wall Street,Crime|Drama|Comedy,en,2013-12-25,95.007934,100000000,392000694,180.0,7.9,6571,Released,2013.0
The World's End,Comedy|Action|Science Fiction,en,2013-07-18,55.964605,20000000,46089287,109.0,6.7,1778,Released,2013.0
The Young and Prodigious T.S. Spivet,Adventure|Drama|Family,en,2013-10-16,10.651202,33000000,9494789,105.0,6.7,232,Released,2013.0
This Is Martin Bonner,Drama,en,2013-06-28,0.76368,0,0,83.0,6.6,4,Released,2013.0
This Is the End,Action|Comedy,en,2013-06-12,38.21708,32000000,126041322,107.0,6.3,2359,Released,2013.0
Turbo,Animation|Family,en,2013-07-11,44.765377,135000000,282570682,96.0,6.1,1074,Released,2013.0
World War Z,Action|Drama|Horror|Science Fiction|Thriller,en,2013-06-20,81.834855,200000000,531865000,116.0,6.7,5560,Released,2013.0
Zombie Hunter,Comedy|Action|Science Fiction|Thriller,en,2013-07-25,3.418372,0,0,93.0,3.5,34,Released,2013.0
Zulu,Crime|Drama|Thriller,en,2013-12-04,14.529496,16000000,0,110.0,6.7,172,Released,2013.0
22 Jump Street,Crime|Comedy|Action,en,2014-06-05,52.380982,50000000,188441614,112.0,7.0,3319,Released,2014.0
A Million Ways to Die in the West,Comedy|Western,en,2014-05-22,32.808675,0,0,116.0,5.8,1468,Released,2014.0
A Most Violent Year,Crime|Drama|Thriller,en,2014-12-30,37.629309,20000000,12007070,125.0,6.5,546,Released,2014.0
A Most Wanted Man,Thriller,en,2014-07-25,26.708193,15000000,31554855,121.0,6.5,541,Released,2014.0
American Sniper,War|Action,en,2014-12-11,87.53437,58800000,542307423,133.0,7.4,4469,Released,2014.0
Blue Ruin,Crime|Thriller,en,2014-04-25,25.349758,0,258384,90.0,6.9,462,Released,2014.0
Brick Mansions,Action|Crime|Drama,en,2014-04-22,25.520976,28000000,68896829,90.0,5.7,615,Released,2014.0
Da Sweet Blood of Jesus,Thriller|Comedy|Romance,en,2014-06-22,4.480579,0,0,123.0,4.1,13,Released,2014.0
Dawn of the Crescent Moon,Thriller|Drama|Science Fiction,en,2014-04-05,0.049469,0,0,95.0,2.0,1,Released,2014.0
Doc Holliday's Revenge,Western,en,2014-06-01,0.4594,1000000,0,84.0,3.2,3,Released,2014.0
Dolphin Tale 2,Family|Drama,en,2014-09-12,6.967857,36000000,52424533,107.0,6.7,96,Released,2014.0
Dracula Untold,Horror|Action|Drama|Fantasy|War,en,2014-10-01,64.457947,70000000,215529201,92.0,6.2,2389,Released,2014.0
Dying of the Light,Thriller|Drama,en,2014-12-04,10.48009,15000000,0,94.0,4.5,118,Released,2014.0
Exodus: Gods and Kings,Adventure|Drama|Action,en,2014-12-03,101.599427,140000000,268031828,150.0,5.6,1921,Released,2014.0
Gone Girl,Mystery|Thriller|Drama,en,2014-10-01,143.041543,61000000,369330363,145.0,7.9,5862,Released,2014.0
Horrible Bosses 2,Comedy,en,2014-11-26,82.185281,42000000,107670357,108.0,6.1,1536,Released,2014.0
If I Stay,Drama,en,2014-08-21,31.162838,11000000,78874843,106.0,7.3,1368,Released,2014.0
Interstellar,Adventure|Drama|Science Fiction,en,2014-11-05,724.247784,165000000,675120017,169.0,8.1,10867,Released,2014.0
Left Behind,Thriller|Action|Science Fiction,en,2014-10-03,33.452469,16000000,19682924,110.0,3.7,392,Released,2014.0
Let's Be Cops,Comedy,en,2014-08-13,70.668923,17000000,136621271,104.0,6.4,1219,Released,2014.0
Let's Kill Ward's Wife,Comedy,en,2014-12-23,8.496364,5000000,0,81.0,5.5,76,Released,2014.0
Locker 13,Horror|Drama|Thriller,en,2014-03-29,1.905197,0,0,90.0,6.8,3,Released,2014.0
Mr. Peabody & Sherman,Animation|Adventure|Family,en,2014-02-07,38.73494,145000000,272912430,92.0,6.7,843,Released,2014.0
Mr. Turner,History|Drama,en,2014-10-31,9.242554,0,5405500,150.0,6.3,204,Released,2014.0
Paddington,Family|Comedy,en,2014-11-27,39.882276,55000000,259207227,95.0,7.0,883,Released,2014.0
Penguins of Madagascar,Family|Animation|Adventure|Comedy,en,2014-11-22,84.366984,132000000,373552094,92.0,6.5,1346,Released,2014.0
Ramanujan,Drama|History,ta,2014-07-11,0.416179,0,0,170.0,5.0,3,Released,2014.0
Red Sky,Action|Thriller,en,2014-03-12,3.344158,25000000,0,100.0,4.1,26,Released,2014.0
Sex Tape,Comedy,en,2014-07-17,72.641296,40000000,126069509,97.0,5.3,1695,Released,2014.0
Something Wicked,Mystery|Thriller,en,2014-04-04,1.968679,3000000,0,95.0,4.6,16,Released,2014.0
Song One,Drama,en,2014-01-20,6.349218,6000000,32251,86.0,5.5,87,Released,2014.0
Teenage Mutant Ninja Turtles,Science Fiction|Action|Adventure|Fantasy|Comedy,en,2014-08-07,143.350376,125000000,477200000,101.0,5.8,2636,Released,2014.0
That Awkward Moment,Comedy|Romance,en,2014-01-29,37.821106,8000000,26049082,94.0,6.1,1004,Released,2014.0
The Boxtrolls,Animation|Comedy|Family|Fantasy,en,2014-09-10,30.656345,60000000,108255770,97.0,6.6,668,Released,2014.0
The Face of an Angel,Thriller|Drama,en,2014-09-06,7.336256,0,0,100.0,4.7,64,Released,2014.0
The Fault in Our Stars,Romance|Drama,en,2014-05-16,74.358971,12000000,307166834,125.0,7.6,3759,Released,2014.0
The Giver,Drama|Science Fiction,en,2014-08-11,53.811461,25000000,66980456,94.0,6.4,1798,Released,2014.0
The Green Inferno,Action|Adventure|Horror|Thriller,en,2014-09-04,17.845161,5000000,6833445,100.0,5.0,349,Released,2014.0
The Hobbit: The Battle of the Five Armies,Action|Adventure|Fantasy,en,2014-12-10,120.965743,250000000,956019788,144.0,7.1,4760,Released,2014.0
The Imitation Game,History|Drama|Thriller|War,en,2014-11-14,145.364591,14000000,233555708,113.0,8.0,5723,Released,2014.0
The Last Five Years,Comedy|Drama|Music|Romance,en,2014-11-03,5.563068,0,0,94.0,5.5,143,Released,2014.0
The Monuments Men,War|Drama|History|Action,en,2014-01-24,43.873266,70000000,154984035,118.0,5.8,1523,Released,2014.0
The Prince,Thriller|Action,en,2014-08-22,21.638673,18000000,266586800,93.0,4.6,218,Released,2014.0
